Teachers, Subjects, Fields, Heuristic, Failed_Hours, Practical_Teacher_From_Other_Field, Resumptions, Entailments, Prunings, Backtracks, Constraints_created, Walltime
7.0, 8.0, 1.0, 4.0, 5.0, 0.0, 45425633.0, 4343517.0, 18632803.0, 306598.0, 243.0, 5032.0
8.0, 8.0, 1.0, 12.34, 15.42, 0.0, 39584019.0, 5615621.0, 16457628.0, 202311.0, 270.0, 5037.0
8.0, 8.0, 1.0, 2.42, 3.02, 0.0, 39810533.0, 5219573.0, 16611514.0, 237422.0, 270.0, 5031.0
8.0, 8.0, 1.0, 4.3, 5.37, 0.0, 34196654.0, 6995604.0, 15399726.0, 227983.0, 270.0, 5030.0
9.0, 8.0, 1.0, 12.08, 15.1, 0.0, 45519540.0, 4064482.0, 17827270.0, 204018.0, 297.0, 5035.0
6.0, 8.0, 1.0, 0.6, 0.76, 0.0, 39701246.0, 6091136.0, 17651802.0, 403419.0, 216.0, 5031.0
7.0, 8.0, 1.0, 11.44, 14.3, 0.0, 32269917.0, 6806807.0, 15084093.0, 189903.0, 243.0, 5121.0
9.0, 8.0, 1.0, 8.62, 10.78, 0.0, 39739052.0, 5116088.0, 16592419.0, 181717.0, 297.0, 5077.0
5.0, 8.0, 1.0, 0.2, 0.25, 0.0, 38444164.0, 4884400.0, 16125757.0, 209793.0, 189.0, 5032.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9.0, 8.0, 2.0, 7.68, 9.6, 24.0, 41332177.0, 5017467.0, 16857701.0, 143979.0, 311.0, 5122.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6.0, 8.0, 2.0, 8.39, 10.49, 8.0, 39292193.0, 4863696.0, 16172699.0, 160818.0, 230.0, 5031.0
11.0, 8.0, 2.0, 6.9, 8.63, 14.0, 40076573.0, 4833448.0, 16235611.0, 172906.0, 365.0, 5032.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8.0, 8.0, 2.0, 5.52, 6.91, 15.0, 36170169.0, 5219122.0, 15191997.0, 175218.0, 284.0, 5035.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10.0, 8.0, 2.0, 15.89, 19.87, 32.0, 39761093.0, 4956761.0, 16182496.0, 146797.0, 338.0, 5032.0
6.0, 8.0, 2.0, 4.24, 5.3, 4.0, 35796490.0, 4846294.0, 15199166.0, 177676.0, 227.0, 5078.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6.0, 8.0, 2.0, 3.61, 4.51, 3.0, 44034413.0, 4626342.0, 18025672.0, 158171.0, 227.0, 5031.0
